year,state_seller,sector_seller,seller,state_buyer,sector_buyer,buyer,amount
2000,3,5,2,11,1,88,38.436684
2000,3,5,2,11,1,88,48.572006
1999,3,5,2,3,13,92,54.582752
1999,3,5,2,6,19,105,68.912697
1997,3,5,2,8,2,115,49.386806
1996,3,5,2,8,11,149,67.305534
2000,3,5,2,1,5,152,55.682884
2000,3,5,2,5,10,174,56.405079
1999,3,5,2,5,10,174,66.748764
1995,3,5,2,15,13,176,51.249214
1998,3,5,2,4,15,200,71.541733
1998,3,5,2,3,20,201,81.447693
1995,3,5,2,3,19,241,82.005867
1997,3,5,2,13,12,246,68.852234
1995,3,5,2,5,13,270,72.589279
1997,3,5,2,3,13,276,74.37722
1996,3,5,2,9,4,290,83.179375
1999,3,5,2,10,20,310,91.40284
1998,3,5,2,9,20,312,95.915184
2000,3,5,2,7,7,342,58.622295
2000,3,5,2,11,12,355,88.438744
1995,3,5,2,12,15,359,84.418144
1996,3,5,2,7,11,367,81.556885
1997,3,5,2,5,20,368,89.419975
1996,3,5,2,4,12,369,66.923439
1997,3,5,2,5,4,371,68.558342
2000,3,5,2,5,16,374,85.146782
2000,3,5,2,1,15,380,95.780685
1995,3,5,2,13,10,395,80.218651
1997,3,5,2,5,1,410,70.384216
1995,3,5,2,5,11,482,87.975014
1995,3,5,2,8,14,486,102.17362
1998,3,5,2,8,19,520,111.58457
1998,3,5,2,11,17,549,106.82433
1996,3,5,2,3,2,550,80.107468
1995,3,5,2,5,11,560,94.00251
1996,3,5,2,5,11,560,103.68941
1999,3,5,2,11,8,564,115.38815
1999,3,5,2,15,14,609,115.1149
1996,3,5,2,1,19,610,109.93348
1996,3,5,2,3,17,623,101.93351
1995,3,5,2,6,20,653,118.21353
1995,3,5,2,7,11,677,138.1485
1995,3,5,2,15,14,683,107.8157
1998,3,5,2,1,3,685,88.411774
1995,3,5,2,15,9,687,134.6431
1998,3,5,2,13,19,689,111.37445
1995,3,5,2,13,19,689,134.13181
1999,3,5,2,4,4,691,93.82962
1999,3,5,2,1,10,710,95.56926
2000,3,5,2,1,10,710,108.96539
1996,3,5,2,14,20,711,152.16495
1998,3,5,2,6,10,713,115.45715
2000,3,5,2,10,12,732,96.849983
1997,3,5,2,10,12,732,136.40747
1995,3,5,2,11,3,738,101.84808
1995,3,5,2,1,20,746,147.28899
2000,3,5,2,3,13,748,110.89117
1995,3,5,2,3,13,748,113.96542
1997,3,5,2,3,13,748,124.58663
1995,3,5,2,3,13,756,107.88398
1996,3,5,2,6,10,761,113.25446
1998,3,5,2,8,1,770,134.3387
1997,3,5,2,11,13,785,131.86363
1998,3,5,2,1,7,786,109.41254
1996,3,5,2,14,8,792,126.8044
1998,3,5,2,14,20,803,133.6792
1998,3,5,2,10,3,846,123.71861
1996,3,5,2,8,3,848,127.52153
1998,3,5,2,8,19,852,152.6638
1997,3,5,2,13,5,860,140.50461
1996,3,5,2,2,13,864,121.16241
2000,3,5,2,2,13,864,126.6766
1998,3,5,2,5,10,877,162.62396
1999,3,5,2,3,10,883,135.02367
2000,3,5,2,12,4,888,140.07829
1996,3,5,2,15,11,889,142.66142
1997,5,7,3,15,9,5,57.657879
1996,5,7,3,3,6,14,27.364559
1995,5,7,3,13,7,17,57.57518
2000,5,7,3,4,13,32,47.182217
1997,5,7,3,2,5,58,53.483047
1998,5,7,3,10,11,63,59.660469
1998,5,7,3,5,8,64,56.045086
1999,5,7,3,5,8,71,50.624763
1997,5,7,3,11,9,81,72.153275
1999,5,7,3,8,5,84,58.189461
1996,5,7,3,4,18,103,61.74334
1999,5,7,3,13,14,110,75.189804
1995,5,7,3,15,10,119,78.726448
1995,5,7,3,12,4,121,72.901436
1997,5,7,3,4,3,147,51.056858
1996,5,7,3,3,19,154,75.102371
1998,5,7,3,14,8,165,50.31953
1995,5,7,3,14,2,179,63.691654
2000,5,7,3,5,13,187,70.079147
1997,5,7,3,7,11,192,54.151623
1998,5,7,3,6,4,195,75.174683
1996,5,7,3,6,2,198,45.824547
1997,5,7,3,6,17,227,80.883957
2000,5,7,3,9,6,248,88.833038
1996,5,7,3,2,13,263,89.267288
1997,5,7,3,5,13,270,61.156139
1997,5,7,3,9,8,285,70.605209
1997,5,7,3,6,5,296,68.831581
1999,5,7,3,11,2,297,71.00882
1997,5,7,3,10,20,310,109.01858
2000,5,7,3,6,18,327,92.29921
1995,5,7,3,15,2,332,84.916565
2000,5,7,3,10,3,338,70.924049
1997,5,7,3,9,1,353,75.459229
1995,5,7,3,11,2,373,90.411346
1995,5,7,3,3,14,403,99.113762
1998,5,7,3,7,8,408,84.430656
1995,5,7,3,2,6,412,62.677425
2000,5,7,3,1,20,414,104.12373
1999,5,7,3,10,16,419,106.55685
1997,5,7,3,13,16,420,94.716354
2000,5,7,3,2,8,421,82.314842
2000,5,7,3,2,8,421,63.055538
1998,5,7,3,7,4,432,98.63987
2000,5,7,3,4,14,433,68.529778
1998,5,7,3,2,9,436,82.573959
1998,5,7,3,7,3,451,90.358025
2000,5,7,3,15,3,461,93.765503
1995,5,7,3,10,9,478,93.569565
1997,5,7,3,14,11,481,122.23331
1999,5,7,3,7,17,483,97.601799
1995,5,7,3,5,18,500,108.68224
1999,5,7,3,1,11,503,95.766487
1996,5,7,3,8,10,507,99.345139
2000,5,7,3,1,18,509,102.03499
1995,5,7,3,15,5,513,113.94374
1999,5,7,3,15,7,527,111.57481
2000,5,7,3,14,4,543,96.203552
1998,5,7,3,4,4,545,75.579552
1999,5,7,3,5,20,579,118.92284
1998,5,7,3,10,5,624,119.62061
1997,5,7,3,10,5,624,112.18052
1996,5,7,3,3,16,656,105.14311
2000,5,7,3,13,10,664,117.6608
2000,5,7,3,13,11,669,114.23158
1996,5,7,3,2,15,676,106.13536
1999,5,7,3,9,6,700,128.15135
1998,5,7,3,6,10,713,118.68056
1995,5,7,3,7,18,714,140.45982
1996,5,7,3,6,1,716,124.47445
2000,5,7,3,2,5,728,107.21728
2000,5,7,3,13,20,729,136.80046
1995,5,7,3,14,6,731,115.85042
1995,5,7,3,9,2,737,106.14191
1997,5,7,3,1,20,746,148.93066
1998,5,7,3,3,13,748,128.68451
1995,5,7,3,10,8,752,125.16014
1999,5,7,3,14,1,759,131.47215
2000,5,7,3,14,1,759,113.06099
2000,5,7,3,9,1,760,114.18697
1995,5,7,3,9,1,760,138.12688
1995,5,7,3,6,10,761,101.95433
1997,5,7,3,10,1,783,125.25758
2000,5,7,3,11,11,801,132.91055
1998,5,7,3,9,19,831,129.43253
2000,5,7,3,8,20,833,130.10959
1998,5,7,3,5,12,861,152.28233
1998,5,7,3,6,20,871,142.92332
1996,5,7,3,6,20,871,161.30936
1999,5,7,3,11,9,875,134.5148
1997,5,7,3,11,9,875,145.63039
2000,5,7,3,9,2,880,112.83567
1999,11,16,4,6,20,22,66.121552
2000,11,16,4,11,1,24,70.95771
1998,11,16,4,4,13,32,48.212166
1998,11,16,4,4,12,43,80.21949
1998,11,16,4,2,4,45,68.659775
1995,11,16,4,14,16,53,79.620346
2000,11,16,4,3,13,92,85.860069
1999,11,16,4,8,16,93,71.204559
1995,11,16,4,9,11,101,74.184395
1995,11,16,4,6,19,105,92.651939
1999,11,16,4,5,15,146,83.699821
1999,11,16,4,8,17,173,87.61306
1997,11,16,4,5,13,187,82.946754
1998,11,16,4,9,6,193,74.429077
1996,11,16,4,8,14,203,109.08595
2000,11,16,4,6,6,211,71.990593
2000,11,16,4,9,7,222,87.674568
1998,11,16,4,6,17,227,105.21599
1996,11,16,4,15,2,274,83.131256
1995,11,16,4,11,5,282,100.31002
1996,11,16,4,9,4,290,100.9461
1998,11,16,4,2,10,300,104.35342
1995,11,16,4,8,11,305,90.359383
1997,11,16,4,7,5,333,89.30677
1995,11,16,4,7,5,333,96.204254
1996,11,16,4,12,9,341,100.36588
1998,11,16,4,7,7,342,103.23299
1998,11,16,4,9,15,357,103.24564
1997,11,16,4,15,19,363,111.48722
1995,11,16,4,8,3,375,97.351364
1997,11,16,4,5,20,388,114.81782
1996,11,16,4,1,3,417,103.24024
1999,11,16,4,13,16,420,126.66112
1999,11,16,4,4,9,422,112.19165
1996,11,16,4,4,18,423,124.46849
1999,11,16,4,10,9,427,116.58234
1998,11,16,4,7,10,428,112.03638
1999,11,16,4,7,10,428,108.56622
1999,11,16,4,5,3,442,98.278214
2000,11,16,4,2,18,443,120.04417
1999,11,16,4,4,6,454,102.26084
1996,11,16,4,15,12,457,143.35831
1999,11,16,4,2,9,460,81.432159
1997,11,16,4,15,3,461,115.64205
2000,11,16,4,7,3,464,101.26822
1995,11,16,4,14,13,465,113.35778
1995,11,16,4,7,18,467,130.99553
1999,11,16,4,13,16,479,144.314
1996,11,16,4,14,11,481,119.75222
1996,11,16,4,5,11,482,116.64681
1999,11,16,4,7,17,483,118.34229
1997,11,16,4,11,17,491,119.16456
1999,11,16,4,12,15,496,129.90311
1999,11,16,4,9,13,517,127.74513
1999,11,16,4,5,20,523,111.80927
1997,11,16,4,6,13,530,124.67795
1996,11,16,4,12,17,542,137.65128
1999,11,16,4,12,7,551,117.06193
1999,11,16,4,4,9,554,126.06866
1997,11,16,4,11,19,572,140.03828
2000,11,16,4,2,2,590,109.44737
1998,11,16,4,7,14,591,115.1255
1995,11,16,4,13,8,604,117.52826
1998,11,16,4,12,10,606,113.54598
1996,11,16,4,10,6,654,141.19365
1999,11,16,4,9,13,657,145.58696
1998,11,16,4,5,8,660,119.50418
1998,11,16,4,9,12,661,111.00758
1999,11,16,4,12,11,663,125.08689
2000,11,16,4,13,11,669,151.35957
1998,11,16,4,9,11,678,131.82796
1998,11,16,4,2,20,690,140.25993
1999,11,16,4,8,5,699,125.96887
1998,11,16,4,13,16,702,153.08957
1995,11,16,4,1,2,720,124.52161
1998,11,16,4,10,1,723,134.78636
1997,11,16,4,2,5,728,139.84309
1997,11,16,4,2,5,728,130.47662
1997,11,16,4,13,20,729,147.31825
2000,11,16,4,6,13,730,127.72102
1999,11,16,4,3,18,736,141.49033
1995,11,16,4,1,20,746,149.14372
1999,11,16,4,3,13,748,124.95892
1995,11,16,4,15,8,763,137.67749
1995,11,16,4,10,1,783,137.64861
1995,11,16,4,4,13,793,134.91081
1999,11,16,4,13,10,800,160.2957
2000,11,16,4,14,20,803,163.23982
1996,11,16,4,7,20,811,163.89317
1995,11,16,4,2,16,818,156.42831
1998,11,16,4,12,13,825,161.28154
1996,11,16,4,2,13,864,156.92094
1999,11,16,4,6,20,871,154.74767
1995,11,16,4,3,20,887,155.86211
1998,15,9,5,11,15,16,58.310085
1997,15,9,5,13,7,26,66.576256
1995,15,9,5,6,18,27,90.874756
1997,15,9,5,10,17,30,78.593803
1996,15,9,5,8,18,36,61.485592
1998,15,9,5,5,20,38,75.084694
1995,15,9,5,2,4,39,38.028572
2000,15,9,5,1,16,44,71.635559
2000,15,9,5,4,18,51,77.445488
1996,15,9,5,4,18,51,74.331429
1999,15,9,5,14,18,52,85.452087
1996,15,9,5,15,6,55,75.158722
1996,15,9,5,15,2,67,64.991745
1995,15,9,5,3,9,83,53.863811
1999,15,9,5,8,16,93,94.957588
1998,15,9,5,8,16,93,80.899231
1999,15,9,5,11,2,102,58.553558
1998,15,9,5,11,2,102,74.189835
1998,15,9,5,6,19,105,72.796402
1998,15,9,5,8,20,113,59.658562
1998,15,9,5,10,2,117,49.358761
1997,15,9,5,6,11,118,66.295967
1999,15,9,5,8,1,130,59.73138
1997,15,9,5,7,6,143,61.015144
1997,15,9,5,3,19,154,70.187889
1998,15,9,5,13,20,160,81.377434
1995,15,9,5,14,12,162,70.880951
1999,15,9,5,11,2,191,69.707405
1999,15,9,5,5,15,221,76.312363
1996,15,9,5,8,8,230,78.688454
1995,15,9,5,6,15,235,72.549675
1999,15,9,5,8,14,244,104.74546
1998,15,9,5,12,10,245,97.808784
1998,15,9,5,13,12,246,84.808586
1995,15,9,5,9,6,248,90.410828
2000,15,9,5,1,18,253,92.017021
1996,15,9,5,5,20,258,92.170197
2000,15,9,5,9,11,259,74.54023
2000,15,9,5,11,5,261,85.050774
1998,15,9,5,11,19,302,104.61799
1996,15,9,5,2,20,315,85.769096
1999,15,9,5,5,8,319,87.317955
1997,15,9,5,2,20,337,110.61803
1998,15,9,5,2,10,347,117.20248
1998,15,9,5,13,11,362,106.95562
1997,15,9,5,9,7,372,102.91789
1998,15,9,5,11,10,383,123.82855
1997,15,9,5,5,20,388,121.27203
1996,15,9,5,5,7,397,99.293945
1996,15,9,5,5,7,397,82.792969
1999,15,9,5,3,5,402,99.639267
1999,15,9,5,3,14,403,103.93713
1999,15,9,5,10,9,427,107.96046
1996,15,9,5,10,9,463,126.53828
1999,15,9,5,14,13,465,93.195595
1995,15,9,5,7,18,467,127.68654
1995,15,9,5,13,13,476,127.3168
1999,15,9,5,11,1,504,120.14583
1995,15,9,5,9,3,510,114.95741
1996,15,9,5,14,18,518,121.8245
1996,15,9,5,10,9,531,103.14424
2000,15,9,5,10,1,547,95.226883
2000,15,9,5,11,2,548,103.37449
1995,15,9,5,15,10,553,128.74559
1995,15,9,5,4,9,554,111.80478
2000,15,9,5,7,14,591,138.71591
1999,15,9,5,14,6,601,134.14874
2000,15,9,5,13,11,608,138.76183
2000,15,9,5,9,1,612,111.31709
1999,15,9,5,15,6,618,124.12075
1995,15,9,5,3,17,623,146.90167
1995,15,9,5,12,20,650,131.70648
1997,15,9,5,6,11,651,138.53423
1996,15,9,5,6,11,651,125.11637
1996,15,9,5,5,8,660,103.42749
1996,15,9,5,12,11,663,128.4361
1997,15,9,5,15,7,666,134.55174
1995,15,9,5,7,5,671,139.2764
1997,15,9,5,9,11,678,153.83806
2000,15,9,5,9,11,678,111.18666
1998,15,9,5,14,15,697,150.95938
1997,15,9,5,14,20,711,153.3344
2000,15,9,5,7,18,714,137.55966
1999,15,9,5,10,1,723,125.48607
1998,15,9,5,1,9,735,126.86461
1995,15,9,5,9,8,739,129.27626
1995,15,9,5,5,8,742,138.32393
1998,15,9,5,12,18,744,164.63573
1997,15,9,5,15,18,758,143.0125
2000,15,9,5,4,7,772,138.21536
1998,15,9,5,7,1,777,123.83212
1997,15,9,5,10,1,783,148.4238
1996,15,9,5,8,13,844,161.35295
1999,15,9,5,14,13,851,152.55275
1995,15,9,5,8,19,852,153.77361
1999,15,9,5,2,5,856,149.4269
1995,15,9,5,4,4,859,128.11729
1999,12,13,6,9,16,29,83.303139
1996,12,13,6,14,19,31,89.365509
1998,12,13,6,8,18,36,73.996315
1995,12,13,6,15,6,55,68.966133
2000,12,13,6,5,8,64,60.903759
1998,12,13,6,8,5,84,67.984734
1998,12,13,6,3,15,100,75.487885
1997,12,13,6,4,18,103,62.358498
1996,12,13,6,2,16,108,79.619591
2000,12,13,6,15,10,119,80.002655
1997,12,13,6,11,15,133,68.586662
1999,12,13,6,3,16,135,66.150841
2000,12,13,6,7,6,143,68.10302
1995,12,13,6,4,3,147,61.558693
1996,12,13,6,13,15,177,88.962585
1997,12,13,6,8,8,178,97.669853
1995,12,13,6,12,8,189,112.2366
2000,12,13,6,3,6,196,80.716919
1997,12,13,6,5,10,212,97.804291
1998,12,13,6,12,4,219,93.041176
1995,12,13,6,13,9,228,86.503639
2000,12,13,6,8,14,244,110.49303
1996,12,13,6,6,3,266,85.064606
1996,12,13,6,11,18,269,103.66554
1996,12,13,6,13,13,271,88.018562
1998,12,13,6,11,20,281,97.690292
1999,12,13,6,11,5,282,105.47516
1998,12,13,6,11,2,297,100.14745
1999,12,13,6,9,8,301,85.18454
2000,12,13,6,12,15,318,104.81951
1997,12,13,6,9,6,322,102.71508
1998,12,13,6,9,6,322,100.88519
2000,12,13,6,15,14,334,118.17345
1996,12,13,6,10,3,338,93.095947
1998,12,13,6,4,12,369,99.560852
1997,12,13,6,8,8,370,104.61791
1997,12,13,6,4,19,376,96.035271
1997,12,13,6,1,15,380,99.153885
2000,12,13,6,4,6,382,106.16721
1998,12,13,6,11,16,385,104.89507
2000,12,13,6,13,10,395,119.30095
2000,12,13,6,2,6,412,90.76683
1995,12,13,6,5,20,416,108.82845
1998,12,13,6,13,16,420,118.65075
1996,12,13,6,12,13,438,107.42577
1997,12,13,6,10,9,478,113.78088
1998,12,13,6,11,17,491,121.59593
1997,12,13,6,13,16,492,126.2095
1999,12,13,6,1,12,494,102.14094
1999,12,13,6,6,15,502,113.20428
1998,12,13,6,1,11,503,120.1606
2000,12,13,6,10,9,531,120.63169
1996,12,13,6,3,2,550,93.054169
1996,12,13,6,7,14,562,115.38831
1998,12,13,6,14,4,566,115.56384
1997,12,13,6,9,20,589,137.49098
1998,12,13,6,12,7,613,111.79504
2000,12,13,6,12,6,625,129.25655
1997,12,13,6,9,14,628,135.71976
1996,12,13,6,11,15,632,139.86832
2000,12,13,6,13,15,633,151.52396
1998,12,13,6,10,8,636,126.77401
1999,12,13,6,9,8,647,136.46883
1998,12,13,6,12,20,650,153.97818
1999,12,13,6,11,17,662,138.39911
1995,12,13,6,15,7,666,140.09737
1995,12,13,6,9,15,684,138.73834
1998,12,13,6,7,3,717,122.50836
1999,12,13,6,1,19,743,140.06371
1999,12,13,6,10,8,752,149.3855
1998,12,13,6,9,3,753,147.10161
2000,12,13,6,11,13,785,154.17346
1998,12,13,6,11,9,787,158.50787
1998,12,13,6,11,9,787,140.39844
1998,12,13,6,12,9,799,127.4272
1996,12,13,6,9,19,830,168.9872
1997,12,13,6,3,15,841,140.79213
1997,12,13,6,13,14,855,157.63885
1997,12,13,6,6,19,881,169.31273
1997,12,13,6,15,6,884,173.14034
1995,12,13,6,15,11,889,163.54903
1996,12,13,6,2,9,892,161.4507
1999,12,13,6,5,15,899,169.81453
2000,10,15,7,1,1,28,55.547184
1998,10,15,7,8,18,36,75.654068
1995,10,15,7,1,16,44,65.375183
2000,10,15,7,2,4,45,64.045151
1996,10,15,7,10,11,63,71.969788
1996,10,15,7,15,18,66,87.227676
1996,10,15,7,5,11,73,77.142708
2000,10,15,7,11,9,81,66.403214
1995,10,15,7,7,2,95,58.638378
1996,10,15,7,1,2,98,61.338516
1995,10,15,7,8,2,115,52.32061
1997,10,15,7,5,13,120,74.697075
1997,10,15,7,15,3,164,76.513992
1995,10,15,7,7,2,166,77.762527
1997,10,15,7,11,19,170,88.330048
1995,10,15,7,12,2,175,69.597969
1998,10,15,7,5,13,187,80.772423
1996,10,15,7,4,15,200,101.11871
2000,10,15,7,10,11,209,77.084732
2000,10,15,7,3,12,215,75.019737
1996,10,15,7,10,16,240,78.444328
1997,10,15,7,3,19,241,85.048744
1997,10,15,7,3,19,241,98.048256
2000,10,15,7,13,12,246,112.00092
1997,10,15,7,1,18,253,96.959312
2000,10,15,7,5,13,270,93.519028
1999,10,15,7,5,13,270,87.735329
1998,10,15,7,13,18,273,107.11766
1997,10,15,7,8,15,289,100.61125
1995,10,15,7,9,4,290,108.79411
1999,10,15,7,9,7,291,92.880882
1996,10,15,7,9,7,291,99.37249
1996,10,15,7,9,5,298,90.972328
1997,10,15,7,2,10,300,89.90155
1996,10,15,7,8,9,303,95.424637
1998,10,15,7,8,9,303,90.010857
1997,10,15,7,14,7,308,89.988419
1996,10,15,7,15,14,334,109.56032
1998,10,15,7,1,17,349,104.64298
1998,10,15,7,8,4,360,111.50963
1995,10,15,7,5,16,374,92.052605
1997,10,15,7,11,10,383,97.753952
1995,10,15,7,11,16,385,119.09003
1996,10,15,7,6,15,391,101.39116
2000,10,15,7,1,3,417,86.683273
1999,10,15,7,10,13,424,107.27218
1997,10,15,7,7,17,425,100.25324
1997,10,15,7,2,6,474,95.656967
1997,10,15,7,14,11,481,108.62677
1998,10,15,7,6,6,495,94.546005
1999,10,15,7,1,11,503,97.744682
1995,10,15,7,1,18,509,104.07141
2000,10,15,7,1,10,525,105.04057
1999,10,15,7,6,13,530,101.25887
1995,10,15,7,10,9,531,120.47281
1997,10,15,7,12,7,551,131.06242
1997,10,15,7,12,17,599,134.44647
1998,10,15,7,5,8,660,109.89535
1998,10,15,7,12,11,663,124.92794
1998,10,15,7,15,14,683,141.35718
1995,10,15,7,13,6,686,118.6805
1996,10,15,7,2,4,698,112.38383
2000,10,15,7,1,20,725,143.2549
1998,10,15,7,3,18,736,131.95384
1999,10,15,7,9,2,737,129.53441
1997,10,15,7,3,15,740,156.54564
1996,10,15,7,12,18,744,136.6974
1999,10,15,7,15,15,747,150.80757
1997,10,15,7,12,14,766,134.60562
1995,10,15,7,5,9,767,136.16096
1998,10,15,7,3,5,775,126.00931
2000,10,15,7,3,18,778,128.70891
1998,10,15,7,14,4,779,138.40938
1999,10,15,7,5,1,789,129.26651
1998,10,15,7,4,1,815,129.22073
1999,10,15,7,1,18,816,161.42621
1997,10,15,7,7,16,835,135.38773
1995,10,15,7,5,15,845,149.75179
1996,10,15,7,2,17,863,147.30736
1996,10,15,7,3,10,883,168.39238
1997,10,15,7,5,2,897,155.11821
2000,11,18,8,3,5,11,62.979198
1997,11,18,8,11,15,16,62.106934
2000,11,18,8,9,18,70,81.4841
1998,11,18,8,5,8,71,74.040909
1997,11,18,8,9,1,72,71.280418
2000,11,18,8,13,17,107,97.238167
1995,11,18,8,13,14,110,108.16493
2000,11,18,8,11,13,111,89.224197
1998,11,18,8,15,10,119,75.231979
1999,11,18,8,8,16,125,99.411606
2000,11,18,8,14,4,131,73.087967
1995,11,18,8,7,6,168,69.749931
1999,11,18,8,3,16,182,89.527557
1997,11,18,8,7,12,199,65.879128
1996,11,18,8,8,14,203,96.328575
1998,11,18,8,3,9,213,81.365173
2000,11,18,8,9,20,216,90.812141
1999,11,18,8,9,20,216,101.86837
1995,11,18,8,12,8,226,86.822914
1995,11,18,8,6,17,227,103.18137
1997,11,18,8,8,8,230,90.282181
1996,11,18,8,13,4,239,96.366447
1998,11,18,8,8,14,244,112.35833
2000,11,18,8,9,11,251,93.358978
1999,11,18,8,6,3,266,77.738708
1999,11,18,8,5,13,270,81.334038
1997,11,18,8,11,5,282,87.372009
1995,11,18,8,8,15,289,116.82247
1996,11,18,8,13,6,293,101.05582
1999,11,18,8,7,4,304,81.049171
1999,11,18,8,14,7,308,108.16973
1995,11,18,8,12,15,318,113.19439
1998,11,18,8,9,5,321,105.50195
2000,11,18,8,11,8,323,98.718628
1998,11,18,8,7,9,348,105.37232
1996,11,18,8,1,17,349,95.994293
1996,11,18,8,1,17,349,96.139816
1998,11,18,8,9,15,357,113.88354
2000,11,18,8,1,18,358,108.42434
1995,11,18,8,15,11,361,113.18999
1996,11,18,8,4,9,364,111.11678
1999,11,18,8,7,11,367,104.14399
1998,11,18,8,5,16,374,108.27161
1995,11,18,8,5,16,374,105.43966
1998,11,18,8,11,16,385,122.73885
1999,11,18,8,6,2,387,112.4604
1998,11,18,8,11,15,389,104.82881
1997,11,18,8,6,15,391,125.33101
1997,11,18,8,7,8,408,113.42554
1995,11,18,8,11,2,409,118.40742
1997,11,18,8,7,12,411,108.21805
2000,11,18,8,1,3,417,101.34727
1998,11,18,8,2,8,421,81.259811
1999,11,18,8,4,9,422,108.37062
1996,11,18,8,15,15,439,135.57799
1998,11,18,8,2,9,460,104.77838
1999,11,18,8,14,17,534,126.42634
1995,11,18,8,1,1,536,96.28183
2000,11,18,8,7,19,567,125.64249
1995,11,18,8,11,5,576,127.94637
1997,11,18,8,2,2,590,119.96893
1997,11,18,8,6,7,597,132.25623
1998,11,18,8,7,17,621,118.75276
2000,11,18,8,11,6,629,143.0423
1997,11,18,8,11,16,634,126.14194
1997,11,18,8,10,8,636,123.44666
2000,11,18,8,9,20,658,155.21901
1995,11,18,8,13,10,664,140.33289
1999,11,18,8,12,13,670,157.55302
2000,11,18,8,11,4,674,122.82413
1996,11,18,8,2,15,676,134.9305
1999,11,18,8,2,9,681,112.88269
2000,11,18,8,12,12,695,147.38239
1996,11,18,8,13,16,702,149.34198
1997,11,18,8,2,6,712,126.5638
1996,11,18,8,2,6,712,130.79182
1995,11,18,8,1,2,720,102.52094
2000,11,18,8,4,13,726,144.33261
1998,11,18,8,2,5,728,113.8148
1995,11,18,8,6,13,730,152.62811
1997,11,18,8,7,17,762,134.10406
